,ID,Team,Kills,Win,Hero
0,4294967295,1,0,0,91
1,4294967295,1,0,0,54
2,899988905,1,0,0,61
3,4294967295,1,0,0,11
4,867377873,1,0,0,12
5,,0,0,1,18
6,,0,0,1,20
7,,0,0,1,6
8,,0,0,1,26
9,,0,0,1,42
10,899389811,0,0,1,26
11,890997137,0,0,1,53
12,879188187,0,0,1,22
13,4294967295,0,0,1,9
14,878100714,0,0,1,42
15,,1,0,0,8
16,,1,0,0,49
17,,1,0,0,11
18,,1,0,0,19
19,,1,0,0,31
20,169359154,0,0,1,0
21,197006931,1,0,0,0
22,4294967295,1,0,0,17
23,4294967295,1,0,0,54
24,858659570,1,0,0,44
25,896818539,1,0,0,8
26,142269958,1,0,0,85
27,,0,0,1,35
28,,0,0,1,49
29,,0,0,1,30
30,,0,0,1,37
31,,0,0,1,18
32,4294967295,1,0,0,35
33,135003308,1,0,0,86
34,4294967295,1,0,0,44
35,4294967295,1,0,0,85
36,4294967295,1,0,0,42
37,,0,0,1,95
38,,0,0,1,120
39,,0,0,1,57
40,,0,0,1,25
41,,0,0,1,106
42,4294967295,0,0,1,91
43,4294967295,0,0,1,40
44,899988905,0,0,1,61
45,4294967295,0,0,1,11
46,867377873,0,0,1,12
47,,1,0,0,22
48,,1,0,0,29
49,,1,0,0,35
50,,1,0,0,7
51,,1,0,0,36
52,194143628,0,0,1,53
53,4294967295,0,0,1,40
54,899997352,0,0,1,68
55,894252897,0,0,1,49
56,162668321,0,0,1,79
57,,1,0,0,6
58,,1,0,0,18
59,,1,0,0,8
60,,1,0,0,31
61,,1,0,0,37
62,115556970,1,0,0,6
63,883708835,1,0,0,8
64,883749460,1,0,0,35
65,883582417,1,0,0,54
66,883860694,1,0,0,44
67,,0,0,1,36
68,,0,0,1,16
69,,0,0,1,50
70,,0,0,1,90
71,,0,0,1,63
72,899389811,1,0,0,26
73,890997137,1,0,0,53
74,879188187,1,0,0,22
75,4294967295,1,0,0,47
76,878100714,1,0,0,42
77,,0,0,1,18
78,,0,0,1,3
79,,0,0,1,48
80,,0,0,1,8
81,,0,0,1,99
82,138261544,0,0,1,70
83,141661801,0,0,1,26
84,136474500,0,0,1,30
85,130722136,0,0,1,43
86,218429403,0,0,1,99
87,125587217,1,0,0,6
88,216086038,1,0,0,1
89,160850729,1,0,0,111
90,145853743,1,0,0,40
91,139589478,1,0,0,66
92,4294967295,1,0,0,17
93,4294967295,1,0,0,109
94,858659570,1,0,0,8
95,896818539,1,0,0,40
96,142269958,1,0,0,54
97,,0,0,1,35
98,,0,0,1,30
99,,0,0,1,18
100,,0,0,1,20
101,,0,0,1,37
102,4294967295,0,0,1,68
103,135003308,0,0,1,35
104,4294967295,0,0,1,85
105,4294967295,0,0,1,109
106,4294967295,0,0,1,6
107,,1,0,0,81
108,,1,0,0,46
109,,1,0,0,79
110,,1,0,0,7
111,,1,0,0,96
112,452933124,0,0,1,34
113,163064897,0,0,1,14
114,4294967295,0,0,1,70
115,4294967295,0,0,1,98
116,4294967295,0,0,1,33
117,4294967295,1,0,0,58
118,112500431,1,0,0,27
